CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason1,ICCAT,Reason2,IATTC,Reason3,WCPFC,Reason4,CCAMLR,Reason5,SEAFO,Reason6,INTERPOL,Reason7,NEAFC,Reason8,NAFO,Reason9,SPRFMO,Reason10,CCSBT,Reason11,GFCM,Reason12,NPFC,Reason13,SIOFA,Reason14
True,ABDI BABA 1,Sharon 1,8692299,,Fishing Vessel,Purse seine,Unknown,,,143.000,,28.780,197401,4.000,Venezuela,Trade & Trade Yachting Ltd,Trade & Trade Yachting Ltd,In Service/Commission,2019-12 - ,Cross-listing,2008-11-24 - ,Use of fraudulent documentation,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
True,ABISHAK PUTHA 3,,,,,,,4SFXXXX,417000878,,,,,,,,,,2021-06-14 - ,Cross-listing,,,,,,,,,,,,,,,,,,,2021-03-25 - ,Cross-listing,,,,,2020 - ,Engaged in fishing for fishery resources in the Agreement Area and  are not on the SIOFA Record of Authorized Vessels
True,ABUNDANT 1,ABUNDANT 1 (YI HONG 06),,,,,,CPA 226,,,,,,,,Huang Jia Yi,Hatto Daroi,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,2021-04-05 - ,Cross-listing
True,ABUNDANT 12,ABUNDANT 12 (YI HONG 106),,,,,,CPA202,,,,,,,,Huang Jia Yi,Mendez Francisco Delos Reyes,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,2021-04-05 - ,Cross-listing
True,ABUNDANT 3,ABUNDANT 3 (YI HONG 16),,,,,,CPA201,,,,,,,,Huang Jia Yi,Huang Wen Hsin,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,2021-04-05 - ,Cross-listing
True,ABUNDANT 6,ABUNDANT 6 (YI HONG 86),,,Fishing Vessel,Longline,,CPA221,,,,,,,,Huang Jia Yi,Huang Wen Hsin,,2017-05 - ,Operating in the IOTC area without authorisation,2017-07-15 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,2021-04-05 - ,Cross-listing
True,ABUNDANT 9,ABUNDANT 9 (YI HONG 116),,,,,,CPA222,,,,,,,,Huang Jia Yi,Pan Chao Mao,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,2021-04-05 - ,Cross-listing
True,ACROS NO. 2,Acros No. 2,7379345,,Fishing Vessel,,Honduras,,,284.000,343,48.240,197403,3.610,"Shizuoka, Shizuoka, Kanasashi Heavy Industries Co Ltd (Shimizu, Shizuoka , Japan), Japan","Infitco SA, Infitco Ltd","Infitco SA, Infitco Ltd",In Service/commission,2019-12 - ,Cross-listing,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
True,AL'AMIR MUHAMMAD,AL'AMIR MUHAMMAD,,,Fishing Vessel,,Egypt,,,,,,,,,,,,2019-12 - ,Cross-listing,,,,,,,,,,,,,,,,,,,,,2018-07 - ,IUU fishing in the Strait of Sicily,,,2019 - ,Cross-listing
True,ALBORAN II,Alboran II,7306570,37213PEX1,Fishing Vessel,Trawl unspecified,,,,252.000,129,31.250,197404,3.750,"Gijon, Sociedad Metalurgica Duro Felguera - Gijon Yard/hull No.: 97, Spain",Redfin Investments SA,Redfin Investments SA,Total Loss,2019-12 - ,Cross-listing,2020 - ,Cross-listing,,,,,,,2008-03-18 - ,,,,2008-03-18 - ,,2008-08-04 - ,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
False,ALFA,Alfa,7436533,C-00951,Reefer,,Georgia,4LPN,,669.000,518,55.020,197403,5.190,"Khabarovsk, Khabarovskiy Sudostroitelnyy Zavod im Kirova - Khabarovsk Yard/hull No.: 807, U.S.S.R.",Stratford Vale Corp,JSC Fishery Group,Total Loss,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2007-06-12 - 2009-11-13,OBS by NOR TRA in RA SCH 07/37,2008-01-05 - 2009-11-13,,,,,,,,,,,
True,"ALWESAM 5, AL WESAM 5",AL WESAM 5,,,"Fishing Vessel, Stern Trawler",Trawl unspecified,,HSN5447,,384.050,,40.000,,4.000,,Marine Renown SARL,,,2018-05 - ,Contravention of IOTC Resolution 17/03,2018-06-06 - ,Cross-listing,,,,,,,,,,,,,,,,,,,,,,,2020 - ,Cross-listing
True,AMORINN,Amorinn,7036345,,Fishing Vessel,,Unknown,,,530.000,411,54.240,197003,3.750,"Niigata, Niigata, Niigata Engineering Co Ltd - Niigata NI Yard/hull No.: 866, Japan",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2003-11-07 - ,Inside Division 58.4.2,2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
True,ANEKA 228,Aneka 228,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,2020 - ,Cross-listing
True,ANTONY,Antony,7236634,,Fishing Vessel,,Unknown,,,346.000,347,50.400,197200,3.610,"Shimizu, Shizuoka, Miho Zosensho K.K. Shimizu, Japan",World Ocean Fishing SL; World Oceans Fishing SL,World Oceans Fishing SL,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2016-10-28 - ,Supporting IUU listed vessels,2016 - ,From CCAMLR,,,,,,,,,,,,,,,2019 - ,Cross-listing
False,AQUARUS,Aquarus,,,,,St. Vincent and the Grenadines,,,,,,,,,,,,,,2004-11-21 - 2006-11-26,,,,,,,,,,,,,,,,,,,,,,,,,
False,AROGYA ANNAI,BEO HINGIS,,IND-KL-04-MM-1617,Fishing Vessel,"Lines unspecified, Gillnets",India,,,86.000,,22.000,2012,,Kochi,Siraj,,,2017-05 - 2018-12-14,Fishing without a license in the waters of the UK (OT),2017-07-15 - 2019,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
True,ASIAN WARRIOR,ASIAN WARRIOR,7322897,,Fishing Vessel,,Equatorial Guinea,,,"284.000, 656.000, 647.000",,48.210,197305,3.610,"Shizuoka, Shizuoka, Kanasashi Heavy Industries Co Ltd (Shimizu, Shizuoka , Japan), Japan",High Mountain Overseas S.A.,,In Service/commission,2015-05-01 - ,,2015-10-02 - ,Following IOTC,,,,,2003-11-07 - ,Inside Division 58.5.2,2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
False,ATLANTIC GLORY,TS Elegance,8919403,011021791,Fishing Vessel,Purse seine,Belize,V3PB8,312864000,"2027.000, 2109.000, 1208.079",1650,79.800,199104,8.900,"Huelva S.A., Astilleros De, Spain",,,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
False,ATLANTIC PRINCE,TS Emerald,8919415,"011121792, 011021792",Fishing Vessel,"Purse seine, Seine other",Belize,V3PG8,312867000,"2027.000, 2109.000",1650,79.800,199107,8.900,"Huelva S.A., Astilleros De, Spain",,,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
False,ATLANTIC QUEEN,TS Prosperity,9223227,"GSR 0179, 316640",Fishing Vessel,Purse seine,Ghana,9GHE,627179000,1664.000,1566,72.530,200007,5.700,Niigata Shipbuilding & Repair Inc,,Africa Star Fisheries Ltd,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
True,ATLANTIC WIND,ATLANTIC WIND,9042001,,Fishing Vessel,Gillnets,Unknown,,,851.000,652,61.720,199012,4.170,"Busan, Dae Sun Shipbuilding & Engineering Co (Busan , Korea, South), Dae Sun Shipbuilding &amp; Engineering Pusan, South Korea, South Korea, Korea, South",High Mountain Overseas S.A.; Bright Future Invest NV,Bright Future Invest NV,In Service/commission,2015-05-01 - ,,2015-10-02 - ,,,,,,2004-11-05 - ,"Fishing inside Division 58.4.3b; Inside Division 58.4.3a; Fishing inside Division 58.4.3a; Undocumented landing, Malaysia",2007-10-31 - ,,,,,,,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
